"","symRSQ","rgccaRSQ","sgccaRSQ","prmRSQ","corrupt1","corrupt2","corrupt3","nTrueEmbeddings","nForSim"
"1",0.218311850275613,0.0827195427337693,0.018726097942524,0.000101461555620237,0.609763888455927,0.165764546766877,0.210256364382803,18,270
"2",0.601418572272779,0.166371239531728,0.595573100376879,0.00393940147924159,0.427419543452561,0.834130663238466,0.503782045654953,7,248
"3",0.4908291352135,0.390918372424846,0.449030498392422,0.00627706442737618,0.381508756242693,0.873847938142717,0.384614226967096,23,243
"4",0.388185135142655,0.238091888769868,0.504529295978701,0.00822198996118481,0.374398437514901,0.293096762150526,0.724977485090494,21,337
"5",0.514036372450115,0.418332752814637,0.553934741260822,0.0195252302186909,0.455329109355807,0.524379181861877,0.734328327700496,14,253
"6",0.557169776137472,0.576182515959349,0.566153587511158,0.0167152320507073,0.63562540281564,0.592308512330055,0.796196440979838,20,342
"7",0.596165428332571,0.589410384179412,0.655560290093703,0.00897761896331803,0.572125230543315,0.422844665311277,0.64963001050055,20,503
"8",0.63245044987272,0.597399752893188,0.641991566398773,0.000103536889448148,0.850411991216242,0.53172515463084,0.385423898510635,16,313
"9",0.597188509004603,0.501604686843359,0.709779240852967,0.00444476901703315,0.296256233751774,0.564767634123564,0.399145299568772,6,259
"10",0.67961547408819,0.659129278146909,0.647042973433406,0.000989689567422608,0.828503305278719,0.139867669716477,0.298100746236742,5,321
"11",0.434917233315375,0.463435039288322,0.487634845631952,0.0869327184455818,0.285802519693971,0.413880149461329,0.465193000249565,6,273
"12",0.451019866813459,0.493772558162102,0.556552317212778,0.0496376424222895,0.647325753420591,0.397627952136099,0.646167998947203,15,202
"13",0.408942745263851,0.0832171506701977,0.187849234612155,1.4688645886213e-05,0.688844299130142,0.184757147543132,0.26895415969193,24,364
"14",0.517147154941497,0.408698327149667,0.547674808826771,7.00826387976071e-05,0.67146651763469,0.857157441228628,0.668024730496109,9,267
"15",0.579293879388706,0.590096513705744,0.633558410137305,0.000253945411615912,0.255054455623031,0.802744422480464,0.288402925431728,23,341
"16",0.42087647028201,0.30054199561473,0.378181848044538,0.00867949456436569,0.822405597008765,0.278877531923354,0.378908155299723,20,358
"17",0.412962864037563,0.244611407503067,0.325216816997708,0.0272328735969381,0.382746345363557,0.101697526872158,0.498994036205113,16,239
"18",0.449357887147711,0.476074858969418,0.487545156122575,0.00365769560689468,0.593975476548076,0.854163099266589,0.817948744632304,21,394
"19",0.642391712994806,0.584246693768143,0.610320351851101,0.067728323675574,0.531561861746013,0.848002181388438,0.815163474529982,15,225
"20",0.580640037424599,0.574823201006384,0.631717335166447,0.000103138638643241,0.89456695523113,0.383073377422988,0.776265232264996,20,413
