"AgeAtScan","Performance.IQ","Verbal.IQ","FullScaleIQ","RGCCAPredAgeAtScan","RGCCAPredPerformance.IQ","RGCCAPredVerbal.IQ","RGCCAPredFullScaleIQ","SiMLRRegPredAgeAtScan","SiMLRRegPredPerformance.IQ","SiMLRRegPredVerbal.IQ","SiMLRRegPredFullScaleIQ","SiMLRCCAPredAgeAtScan","SiMLRCCAPredPerformance.IQ","SiMLRCCAPredVerbal.IQ","SiMLRCCAPredFullScaleIQ"
13.25,89,95,90,14.0076415919334,104.252522262017,107.873832093402,108.601251742969,13.7246707699001,112.449720239161,116.456461755434,116.382018420315,15.3286218137727,109.409576588787,111.395823783047,112.99114862025
12,91,92,90,11.7477776197153,103.312473025205,105.770175164862,103.300512262132,13.7313181583202,95.393968724586,99.0796712025902,96.010749335058,11.9794319068955,93.6650409013158,102.951272765305,98.1075249048981
12,110,118,116,12.4765845165596,108.6781519717,107.606031243995,108.320605260085,11.5740205618611,102.680180406126,104.096722083009,104.472484546363,12.4530609504216,108.33236824352,111.389515364424,111.203931042608
12,96,97,97,10.2915468148196,106.520410645056,102.752351395978,105.23684175356,12.306745065115,115.371032254313,109.160909948142,113.659212859647,11.468793126732,111.027329656367,117.611383781658,115.995927536919
14.25,89,91,95,12.4537665750962,117.088546397584,120.419932319502,122.049414104335,13.5894189512656,113.374963750309,117.515294080051,117.959616921846,11.4939144510012,121.064517893519,114.246267341733,121.233504982759
14.75,90,114,102,13.9957380175724,103.874319638911,113.066696414303,111.253137503015,13.9603183653158,94.6252764243898,101.880160332991,99.1651500374168,11.8392851849359,93.3751886001935,98.2787604012616,95.3511780243671
11.25,106,125,117,9.62556373280269,110.428005510708,113.615589340429,114.072748345119,11.7906827701341,107.724846510638,119.86850097303,115.040850135173,12.8867330261521,112.897617638405,119.804815195645,118.870796625395
8,126,137,136,10.12938284968,113.277404142318,116.688948594057,115.629518822248,11.804329122537,103.094014447315,115.634239817304,111.511111802112,10.7565677076583,108.588298841106,113.878155576889,112.617177036039
7.25,106.291666666667,109.895833333333,109.270833333333,9.97943361306777,107.820274701256,106.976662664066,107.94058248027,11.7621169382519,101.572135649962,103.590541866709,103.513570994358,8.12481710095091,108.152622954,109.868776173639,109.837624248939
12.25,102,121,113,12.317908406072,120.361918555148,121.557431194251,124.025742971397,13.8461448078632,113.510822723706,118.065369772982,117.853462832966,13.3904914685545,109.333888945444,108.562786832998,110.199302924736
7.5,116,112,116,12.3892607806999,112.583299386549,127.36903218205,123.266657088713,9.11150181920618,108.269647962121,111.388934766981,110.84360941536,8.60366461945775,95.6027659412933,107.074273928258,101.34154107523
